_id,Disease,Year,PROVINCE,Week_no,Count
120,Hand Foot Mouth,2013,Nonthaburi,14,4.0
121,Hand Foot Mouth,2013,Nonthaburi,15,1.0
122,Hand Foot Mouth,2013,Nonthaburi,16,2.0
123,Hand Foot Mouth,2013,Nonthaburi,17,1.0
124,Hand Foot Mouth,2013,Nonthaburi,18,3.0
125,Hand Foot Mouth,2013,Nonthaburi,19,2.0
126,Hand Foot Mouth,2013,Nonthaburi,20,2.0
127,Hand Foot Mouth,2013,Nonthaburi,21,3.0
128,Hand Foot Mouth,2013,Nonthaburi,22,5.0
129,Hand Foot Mouth,2013,Nonthaburi,23,3.0
130,Hand Foot Mouth,2013,Nonthaburi,24,12.0
131,Hand Foot Mouth,2013,Nonthaburi,25,19.0
132,Hand Foot Mouth,2013,Nonthaburi,26,26.0
133,Hand Foot Mouth,2013,Nonthaburi,27,35.0
134,Hand Foot Mouth,2013,Nonthaburi,28,42.0
135,Hand Foot Mouth,2013,Nonthaburi,29,15.0
136,Hand Foot Mouth,2013,Nonthaburi,30,12.0
137,Hand Foot Mouth,2013,Nonthaburi,31,12.0
138,Hand Foot Mouth,2013,Nonthaburi,32,12.0
139,Hand Foot Mouth,2013,Nonthaburi,33,13.0
140,Hand Foot Mouth,2013,Nonthaburi,34,9.0
141,Hand Foot Mouth,2013,Nonthaburi,35,13.0
142,Hand Foot Mouth,2013,Nonthaburi,36,6.0
143,Hand Foot Mouth,2013,Nonthaburi,37,12.0
144,Hand Foot Mouth,2013,Nonthaburi,38,10.0
145,Hand Foot Mouth,2013,Nonthaburi,39,7.0
146,Hand Foot Mouth,2013,Nonthaburi,40,7.0
147,Hand Foot Mouth,2013,Nonthaburi,41,10.0
148,Hand Foot Mouth,2013,Nonthaburi,42,7.0
149,Hand Foot Mouth,2013,Nonthaburi,43,6.0
150,Hand Foot Mouth,2013,Nonthaburi,44,4.0
151,Hand Foot Mouth,2013,Nonthaburi,45,2.0
152,Hand Foot Mouth,2013,Nonthaburi,46,3.0
153,Hand Foot Mouth,2013,Nonthaburi,47,3.0
154,Hand Foot Mouth,2013,Nonthaburi,48,3.0
155,Hand Foot Mouth,2013,Nonthaburi,49,4.0
156,Hand Foot Mouth,2013,Nonthaburi,50,5.0
157,Hand Foot Mouth,2013,Nonthaburi,51,4.0
158,Hand Foot Mouth,2013,Nonthaburi,52,4.0
159,Hand Foot Mouth,2013,Nonthaburi,53,2.0
160,Hand Foot Mouth,2013,Pathum Thani,1,22.0
161,Hand Foot Mouth,2013,Pathum Thani,2,15.0
162,Hand Foot Mouth,2013,Pathum Thani,3,19.0
163,Hand Foot Mouth,2013,Pathum Thani,4,10.0
164,Hand Foot Mouth,2013,Pathum Thani,5,20.0
165,Hand Foot Mouth,2013,Pathum Thani,6,6.0
166,Hand Foot Mouth,2013,Pathum Thani,7,30.0
167,Hand Foot Mouth,2013,Pathum Thani,8,16.0
168,Hand Foot Mouth,2013,Pathum Thani,9,12.0
169,Hand Foot Mouth,2013,Pathum Thani,10,9.0
170,Hand Foot Mouth,2013,Pathum Thani,11,8.0
171,Hand Foot Mouth,2013,Pathum Thani,12,6.0
172,Hand Foot Mouth,2013,Pathum Thani,13,5.0
173,Hand Foot Mouth,2013,Pathum Thani,14,6.0
174,Hand Foot Mouth,2013,Pathum Thani,15,2.0
175,Hand Foot Mouth,2013,Pathum Thani,16,1.0
176,Hand Foot Mouth,2013,Pathum Thani,17,1.0
177,Hand Foot Mouth,2013,Pathum Thani,18,8.0
178,Hand Foot Mouth,2013,Pathum Thani,19,8.0
179,Hand Foot Mouth,2013,Pathum Thani,20,4.0
180,Hand Foot Mouth,2013,Pathum Thani,21,1.0
181,Hand Foot Mouth,2013,Pathum Thani,22,5.0
182,Hand Foot Mouth,2013,Pathum Thani,23,3.0
183,Hand Foot Mouth,2013,Pathum Thani,24,8.0
184,Hand Foot Mouth,2013,Pathum Thani,25,19.0
185,Hand Foot Mouth,2013,Pathum Thani,26,23.0
186,Hand Foot Mouth,2013,Pathum Thani,27,21.0
187,Hand Foot Mouth,2013,Pathum Thani,28,23.0
188,Hand Foot Mouth,2013,Pathum Thani,29,24.0
189,Hand Foot Mouth,2013,Pathum Thani,30,18.0
190,Hand Foot Mouth,2013,Pathum Thani,31,14.0
191,Hand Foot Mouth,2013,Pathum Thani,32,11.0
192,Hand Foot Mouth,2013,Pathum Thani,33,7.0
193,Hand Foot Mouth,2013,Pathum Thani,34,6.0
194,Hand Foot Mouth,2013,Pathum Thani,35,4.0
195,Hand Foot Mouth,2013,Pathum Thani,36,7.0
196,Hand Foot Mouth,2013,Pathum Thani,37,7.0
197,Hand Foot Mouth,2013,Pathum Thani,38,13.0
198,Hand Foot Mouth,2013,Pathum Thani,39,6.0
199,Hand Foot Mouth,2013,Pathum Thani,40,6.0
200,Hand Foot Mouth,2013,Pathum Thani,41,9.0
201,Hand Foot Mouth,2013,Pathum Thani,42,7.0
202,Hand Foot Mouth,2013,Pathum Thani,43,6.0
203,Hand Foot Mouth,2013,Pathum Thani,44,3.0
204,Hand Foot Mouth,2013,Pathum Thani,45,3.0
205,Hand Foot Mouth,2013,Pathum Thani,46,4.0
206,Hand Foot Mouth,2013,Pathum Thani,47,8.0
207,Hand Foot Mouth,2013,Pathum Thani,48,4.0
208,Hand Foot Mouth,2013,Pathum Thani,49,3.0
209,Hand Foot Mouth,2013,Pathum Thani,50,4.0
210,Hand Foot Mouth,2013,Pathum Thani,51,3.0
211,Hand Foot Mouth,2013,Pathum Thani,52,2.0
212,Hand Foot Mouth,2013,Pathum Thani,53,2.0
213,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,1,13.0
214,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,2,6.0
215,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,3,12.0
216,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,4,6.0
217,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,5,11.0
218,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,6,13.0
219,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,7,14.0
220,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,8,6.0
221,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,9,6.0
222,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,10,5.0
223,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,11,9.0
224,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,12,1.0
225,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,13,4.0
226,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,14,3.0
227,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,15,6.0
228,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,16,5.0
229,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,17,4.0
230,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,18,3.0
231,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,19,3.0
232,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,20,6.0
233,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,21,2.0
234,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,22,4.0
235,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,23,2.0
236,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,24,9.0
237,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,25,17.0
238,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,26,10.0
239,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,27,37.0
240,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,28,26.0
241,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,29,31.0
242,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,30,23.0
243,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,31,14.0
244,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,32,6.0
245,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,33,4.0
246,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,34,7.0
247,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,35,7.0
248,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,36,18.0
249,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,37,15.0
250,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,38,6.0
251,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,39,8.0
252,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,40,7.0
253,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,41,3.0
254,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,42,5.0
255,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,43,3.0
256,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,44,3.0
257,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,45,2.0
258,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,46,3.0
259,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,47,1.0
260,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,48,3.0
261,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,49,4.0
262,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,50,6.0
263,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,51,3.0
264,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,52,1.0
265,Hand Foot Mouth,2013,Phra Nakhon Si Ayutthaya,53,4.0
266,Hand Foot Mouth,2013,Ang Thong,1,6.0
267,Hand Foot Mouth,2013,Ang Thong,2,10.0
268,Hand Foot Mouth,2013,Ang Thong,3,4.0
269,Hand Foot Mouth,2013,Ang Thong,4,5.0
270,Hand Foot Mouth,2013,Ang Thong,5,5.0
271,Hand Foot Mouth,2013,Ang Thong,6,4.0
272,Hand Foot Mouth,2013,Ang Thong,7,2.0
273,Hand Foot Mouth,2013,Ang Thong,8,3.0
274,Hand Foot Mouth,2013,Ang Thong,9,2.0
275,Hand Foot Mouth,2013,Ang Thong,10,2.0
276,Hand Foot Mouth,2013,Ang Thong,11,8.0
277,Hand Foot Mouth,2013,Ang Thong,12,8.0
278,Hand Foot Mouth,2013,Ang Thong,13,1.0
279,Hand Foot Mouth,2013,Ang Thong,14,3.0
280,Hand Foot Mouth,2013,Ang Thong,15,8.0
281,Hand Foot Mouth,2013,Ang Thong,16,1.0
282,Hand Foot Mouth,2013,Ang Thong,17,2.0
283,Hand Foot Mouth,2013,Ang Thong,18,2.0
284,Hand Foot Mouth,2013,Ang Thong,19,8.0
285,Hand Foot Mouth,2013,Ang Thong,20,8.0
286,Hand Foot Mouth,2013,Ang Thong,21,8.0
287,Hand Foot Mouth,2013,Ang Thong,22,1.0
288,Hand Foot Mouth,2013,Ang Thong,23,8.0
289,Hand Foot Mouth,2013,Ang Thong,24,8.0
290,Hand Foot Mouth,2013,Ang Thong,25,14.0
291,Hand Foot Mouth,2013,Ang Thong,26,17.0
292,Hand Foot Mouth,2013,Ang Thong,27,15.0
293,Hand Foot Mouth,2013,Ang Thong,28,10.0
294,Hand Foot Mouth,2013,Ang Thong,29,7.0
295,Hand Foot Mouth,2013,Ang Thong,30,6.0
296,Hand Foot Mouth,2013,Ang Thong,31,5.0
297,Hand Foot Mouth,2013,Ang Thong,32,2.0
298,Hand Foot Mouth,2013,Ang Thong,33,8.0
299,Hand Foot Mouth,2013,Ang Thong,34,4.0
300,Hand Foot Mouth,2013,Ang Thong,35,8.0
301,Hand Foot Mouth,2013,Ang Thong,36,7.0
302,Hand Foot Mouth,2013,Ang Thong,37,4.0
303,Hand Foot Mouth,2013,Ang Thong,38,2.0
304,Hand Foot Mouth,2013,Ang Thong,39,5.0
305,Hand Foot Mouth,2013,Ang Thong,40,5.0
306,Hand Foot Mouth,2013,Ang Thong,41,4.0
307,Hand Foot Mouth,2013,Ang Thong,42,1.0
308,Hand Foot Mouth,2013,Ang Thong,43,8.0
309,Hand Foot Mouth,2013,Ang Thong,44,8.0
310,Hand Foot Mouth,2013,Ang Thong,45,8.0
311,Hand Foot Mouth,2013,Ang Thong,46,8.0
312,Hand Foot Mouth,2013,Ang Thong,47,8.0
313,Hand Foot Mouth,2013,Ang Thong,48,8.0
314,Hand Foot Mouth,2013,Ang Thong,49,1.0
315,Hand Foot Mouth,2013,Ang Thong,50,2.0
316,Hand Foot Mouth,2013,Ang Thong,51,3.0
317,Hand Foot Mouth,2013,Ang Thong,52,8.0
318,Hand Foot Mouth,2013,Ang Thong,53,1.0
319,Hand Foot Mouth,2013,Lopburi,1,17.0
320,Hand Foot Mouth,2013,Lopburi,2,13.0
321,Hand Foot Mouth,2013,Lopburi,3,6.0
322,Hand Foot Mouth,2013,Lopburi,4,13.0
323,Hand Foot Mouth,2013,Lopburi,5,10.0
324,Hand Foot Mouth,2013,Lopburi,6,12.0
325,Hand Foot Mouth,2013,Lopburi,7,16.0
326,Hand Foot Mouth,2013,Lopburi,8,23.0
327,Hand Foot Mouth,2013,Lopburi,9,21.0
328,Hand Foot Mouth,2013,Lopburi,10,25.0
329,Hand Foot Mouth,2013,Lopburi,11,26.0
330,Hand Foot Mouth,2013,Lopburi,12,9.0
331,Hand Foot Mouth,2013,Lopburi,13,3.0
332,Hand Foot Mouth,2013,Lopburi,14,4.0
333,Hand Foot Mouth,2013,Lopburi,15,9.0
334,Hand Foot Mouth,2013,Lopburi,16,7.0
335,Hand Foot Mouth,2013,Lopburi,17,8.0
336,Hand Foot Mouth,2013,Lopburi,18,2.0
337,Hand Foot Mouth,2013,Lopburi,19,2.0
338,Hand Foot Mouth,2013,Lopburi,20,1.0
339,Hand Foot Mouth,2013,Lopburi,21,5.0
340,Hand Foot Mouth,2013,Lopburi,22,9.0
341,Hand Foot Mouth,2013,Lopburi,23,6.0
342,Hand Foot Mouth,2013,Lopburi,24,14.0
343,Hand Foot Mouth,2013,Lopburi,25,27.0
344,Hand Foot Mouth,2013,Lopburi,26,42.0
345,Hand Foot Mouth,2013,Lopburi,27,42.0
346,Hand Foot Mouth,2013,Lopburi,28,42.0
347,Hand Foot Mouth,2013,Lopburi,29,43.0
348,Hand Foot Mouth,2013,Lopburi,30,38.0
349,Hand Foot Mouth,2013,Lopburi,31,26.0
350,Hand Foot Mouth,2013,Lopburi,32,24.0
351,Hand Foot Mouth,2013,Lopburi,33,20.0
352,Hand Foot Mouth,2013,Lopburi,34,22.0
353,Hand Foot Mouth,2013,Lopburi,35,24.0
354,Hand Foot Mouth,2013,Lopburi,36,12.0
355,Hand Foot Mouth,2013,Lopburi,37,11.0
356,Hand Foot Mouth,2013,Lopburi,38,6.0
357,Hand Foot Mouth,2013,Lopburi,39,13.0
358,Hand Foot Mouth,2013,Lopburi,40,8.0
359,Hand Foot Mouth,2013,Lopburi,41,4.0
360,Hand Foot Mouth,2013,Lopburi,42,5.0
361,Hand Foot Mouth,2013,Lopburi,43,6.0
362,Hand Foot Mouth,2013,Lopburi,44,3.0
363,Hand Foot Mouth,2013,Lopburi,45,1.0
364,Hand Foot Mouth,2013,Lopburi,46,1.0
365,Hand Foot Mouth,2013,Lopburi,47,2.0
366,Hand Foot Mouth,2013,Lopburi,48,6.0
367,Hand Foot Mouth,2013,Lopburi,49,7.0
368,Hand Foot Mouth,2013,Lopburi,50,4.0
369,Hand Foot Mouth,2013,Lopburi,51,1.0
370,Hand Foot Mouth,2013,Lopburi,52,6.0
371,Hand Foot Mouth,2013,Lopburi,53,3.0
372,Hand Foot Mouth,2013,Sing Buri,1,8.0
373,Hand Foot Mouth,2013,Sing Buri,2,6.0
374,Hand Foot Mouth,2013,Sing Buri,3,6.0
375,Hand Foot Mouth,2013,Sing Buri,4,13.0
376,Hand Foot Mouth,2013,Sing Buri,5,5.0
377,Hand Foot Mouth,2013,Sing Buri,6,5.0
378,Hand Foot Mouth,2013,Sing Buri,7,3.0
379,Hand Foot Mouth,2013,Sing Buri,8,1.0
380,Hand Foot Mouth,2013,Sing Buri,9,2.0
381,Hand Foot Mouth,2013,Sing Buri,10,1.0
382,Hand Foot Mouth,2013,Sing Buri,11,1.0
383,Hand Foot Mouth,2013,Sing Buri,12,1.0
384,Hand Foot Mouth,2013,Sing Buri,13,1.0
385,Hand Foot Mouth,2013,Sing Buri,14,8.0
386,Hand Foot Mouth,2013,Sing Buri,15,8.0
387,Hand Foot Mouth,2013,Sing Buri,16,1.0
388,Hand Foot Mouth,2013,Sing Buri,17,8.0
389,Hand Foot Mouth,2013,Sing Buri,18,8.0
390,Hand Foot Mouth,2013,Sing Buri,19,8.0
391,Hand Foot Mouth,2013,Sing Buri,20,8.0
392,Hand Foot Mouth,2013,Sing Buri,21,8.0
393,Hand Foot Mouth,2013,Sing Buri,22,8.0
394,Hand Foot Mouth,2013,Sing Buri,23,8.0
395,Hand Foot Mouth,2013,Sing Buri,24,1.0
396,Hand Foot Mouth,2013,Sing Buri,25,1.0
397,Hand Foot Mouth,2013,Sing Buri,26,1.0
398,Hand Foot Mouth,2013,Sing Buri,27,8.0
399,Hand Foot Mouth,2013,Sing Buri,28,8.0
400,Hand Foot Mouth,2013,Sing Buri,29,1.0
401,Hand Foot Mouth,2013,Sing Buri,30,4.0
402,Hand Foot Mouth,2013,Sing Buri,31,1.0
403,Hand Foot Mouth,2013,Sing Buri,32,8.0
404,Hand Foot Mouth,2013,Sing Buri,33,8.0
405,Hand Foot Mouth,2013,Sing Buri,34,2.0
406,Hand Foot Mouth,2013,Sing Buri,35,8.0
407,Hand Foot Mouth,2013,Sing Buri,36,1.0
408,Hand Foot Mouth,2013,Sing Buri,37,8.0
409,Hand Foot Mouth,2013,Sing Buri,38,8.0
410,Hand Foot Mouth,2013,Sing Buri,39,8.0
411,Hand Foot Mouth,2013,Sing Buri,40,1.0
412,Hand Foot Mouth,2013,Sing Buri,41,1.0
413,Hand Foot Mouth,2013,Sing Buri,42,8.0
414,Hand Foot Mouth,2013,Sing Buri,43,8.0
415,Hand Foot Mouth,2013,Sing Buri,44,1.0
416,Hand Foot Mouth,2013,Sing Buri,45,8.0
417,Hand Foot Mouth,2013,Sing Buri,46,8.0
418,Hand Foot Mouth,2013,Sing Buri,47,8.0
419,Hand Foot Mouth,2013,Sing Buri,48,8.0
420,Hand Foot Mouth,2013,Sing Buri,49,1.0
421,Hand Foot Mouth,2013,Sing Buri,50,1.0
422,Hand Foot Mouth,2013,Sing Buri,51,8.0
423,Hand Foot Mouth,2013,Sing Buri,52,1.0
424,Hand Foot Mouth,2013,Sing Buri,53,1.0
425,Hand Foot Mouth,2013,Chainat,1,8.0
426,Hand Foot Mouth,2013,Chainat,2,3.0
427,Hand Foot Mouth,2013,Chainat,3,3.0
428,Hand Foot Mouth,2013,Chainat,4,5.0
429,Hand Foot Mouth,2013,Chainat,5,2.0
430,Hand Foot Mouth,2013,Chainat,6,3.0
431,Hand Foot Mouth,2013,Chainat,7,5.0
432,Hand Foot Mouth,2013,Chainat,8,4.0
433,Hand Foot Mouth,2013,Chainat,9,5.0
434,Hand Foot Mouth,2013,Chainat,10,2.0
435,Hand Foot Mouth,2013,Chainat,11,4.0
436,Hand Foot Mouth,2013,Chainat,12,1.0
437,Hand Foot Mouth,2013,Chainat,13,8.0
438,Hand Foot Mouth,2013,Chainat,14,3.0
439,Hand Foot Mouth,2013,Chainat,15,3.0
440,Hand Foot Mouth,2013,Chainat,16,8.0
441,Hand Foot Mouth,2013,Chainat,17,2.0
442,Hand Foot Mouth,2013,Chainat,18,1.0
443,Hand Foot Mouth,2013,Chainat,19,1.0
444,Hand Foot Mouth,2013,Chainat,20,3.0
445,Hand Foot Mouth,2013,Chainat,21,7.0
446,Hand Foot Mouth,2013,Chainat,22,7.0
447,Hand Foot Mouth,2013,Chainat,23,1.0
448,Hand Foot Mouth,2013,Chainat,24,4.0
449,Hand Foot Mouth,2013,Chainat,25,8.0
450,Hand Foot Mouth,2013,Chainat,26,11.0
451,Hand Foot Mouth,2013,Chainat,27,9.0
452,Hand Foot Mouth,2013,Chainat,28,12.0
453,Hand Foot Mouth,2013,Chainat,29,11.0
454,Hand Foot Mouth,2013,Chainat,30,7.0
455,Hand Foot Mouth,2013,Chainat,31,3.0
456,Hand Foot Mouth,2013,Chainat,32,6.0
457,Hand Foot Mouth,2013,Chainat,33,4.0
458,Hand Foot Mouth,2013,Chainat,34,1.0
459,Hand Foot Mouth,2013,Chainat,35,1.0
460,Hand Foot Mouth,2013,Chainat,36,1.0
461,Hand Foot Mouth,2013,Chainat,37,5.0
